Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
saya mencoba apk Telkomsel baru baru ini,saya mencoba apk telkomsel baru baru ini,saya mencoba apk telkomsel baru baru ini,saya mencoba apk telkomsel baru baru ini,"['saya', 'mencoba', 'apk', 'telkomsel', 'baru', 'baru', 'ini']","['saya', 'mencoba', 'aplikasi', 'telkomsel', 'baru', 'baru', 'ini']","['mencoba', 'aplikasi', 'telkomsel', 'baru', 'baru']",coba aplikasi telkomsel baru baru,NETRAL
Beli telkom sekarang ga akurat kuota mahal sinyal ngelek bgt 123mbps aja ga nyampek padahal aku tingal di kota besar,beli telkom sekarang ga akurat kuota mahal sinyal ngelek bgt 123mbps aja ga nyampek padahal aku tingal di kota besar,beli telkom sekarang ga akurat kuota mahal sinyal ngelek bgt 123mbps aja ga nyampek padahal aku tingal di kota besar,beli telkom sekarang ga akurat kuota mahal sinyal ngelek bgt mbps aja ga nyampek padahal aku tingal di kota besar,"['beli', 'telkom', 'sekarang', 'ga', 'akurat', 'kuota', 'mahal', 'sinyal', 'ngelek', 'bgt', 'mbps', 'aja', 'ga', 'nyampek', 'padahal', 'aku', 'tingal', 'di', 'kota', 'besar']","['beli', 'telkom', 'sekarang', 'tidak', 'akurat', 'kuota', 'mahal', 'sinyal', 'lag', 'banget', 'mbps', 'saja', 'tidak', 'sampai', 'padahal', 'aku', 'tinggal', 'di', 'kota', 'besar']","['beli', 'telkom', 'sekarang', 'tidak', 'akurat', 'kuota', 'mahal', 'sinyal', 'lag', 'banget', 'mbps', 'tidak', 'padahal', 'aku', 'tinggal', 'kota', 'besar']",beli telkom sekarang tidak akurat kuota mahal sinyal lag banget mbps tidak padahal aku tinggal kota besar,NEGATIF
"bagus, tapi kurang simple","bagus, tapi kurang simple",bagus  tapi kurang simple,bagus  tapi kurang simple,"['bagus', 'tapi', 'kurang', 'simple']","['bagus', 'tapi', 'kurang', 'simpel']","['bagus', 'kurang', 'simpel']",bagus kurang simpel,NETRAL
Apk ini sangat bagus dan terpercaya peroses yah sangat cepat dengan harga harga yg murah tunggu apa lgi download sekarang kamu akan merasakan keyamanan dan kepuasan saat memakai apk ini download yah ð,apk ini sangat bagus dan terpercaya peroses yah sangat cepat dengan harga harga yg murah tunggu apa lgi download sekarang kamu akan merasakan keyamanan dan kepuasan saat memakai apk ini download yah ð,apk ini sangat bagus dan terpercaya peroses yah sangat cepat dengan harga harga yg murah tunggu apa lgi download sekarang kamu akan merasakan keyamanan dan kepuasan saat memakai apk ini download yah ð,apk ini sangat bagus dan terpercaya peroses yah sangat cepat dengan harga harga yg murah tunggu apa lgi download sekarang kamu akan merasakan keyamanan dan kepuasan saat memakai apk ini download yah ð,"['apk', 'ini', 'sangat', 'bagus', 'dan', 'terpercaya', 'peroses', 'yah', 'sangat', 'cepat', 'dengan', 'harga', 'harga', 'yg', 'murah', 'tunggu', 'apa', 'lgi', 'download', 'sekarang', 'kamu', 'akan', 'merasakan', 'keyamanan', 'dan', 'kepuasan', 'saat', 'memakai', 'apk', 'ini', 'download', 'yah', 'ð\x9f\x98\x81']","['aplikasi', 'ini', 'sangat', 'bagus', 'dan', 'terpercaya', 'proses', 'ya', 'sangat', 'cepat', 'dengan', 'harga', 'harga', 'yang', 'murah', 'tunggu', 'apa', 'lagi', 'download', 'sekarang', 'kamu', 'akan', 'merasakan', 'kenyamanan', 'dan', 'kepuasan', 'saat', 'memakai', 'aplikasi', 'ini', 'download', 'ya', 'ð\x9f\x98\x81']","['aplikasi', 'sangat', 'bagus', 'terpercaya', 'proses', 'sangat', 'cepat', 'harga', 'harga', 'murah', 'tunggu', 'apa', 'download', 'sekarang', 'kamu', 'merasakan', 'kenyamanan', 'kepuasan', 'memakai', 'aplikasi', 'download', 'ð\x9f\x98\x81']",aplikasi sangat bagus percaya proses sangat cepat harga harga murah tunggu apa download sekarang kamu rasa nyaman puas pakai aplikasi download,POSITIF
"Saya pakek Telkomsel krna jaringan paling luas dan terkenal sinyal bagus, Telkomsel drpd yg lainnya termasuk provider yg menurut saya juga terbilang g murahan. Tp kenapa enak2 nyantai jam 11 malem maen game tiba2 sinyal ilang, mulanya saya kasih bintang 5 skrg saya kurangi jadi bintang 3, payah","saya pakek telkomsel krna jaringan paling luas dan terkenal sinyal bagus, telkomsel drpd yg lainnya termasuk provider yg menurut saya juga terbilang g murahan. tp kenapa enak2 nyantai jam 11 malem maen game tiba2 sinyal ilang, mulanya saya kasih bintang 5 skrg saya kurangi jadi bintang 3, payah",saya pakek telkomsel krna jaringan paling luas dan terkenal sinyal bagus  telkomsel drpd yg lainnya termasuk provider yg menurut saya juga terbilang g murahan  tp kenapa enak2 nyantai jam 11 malem maen game tiba2 sinyal ilang  mulanya saya kasih bintang 5 skrg saya kurangi jadi bintang 3  payah,saya pakek telkomsel krna jaringan paling luas dan terkenal sinyal bagus  telkomsel drpd yg lainnya termasuk provider yg menurut saya juga terbilang g murahan  tp kenapa enak nyantai jam  malem maen game tiba sinyal ilang  mulanya saya kasih bintang  skrg saya kurangi jadi bintang   payah,"['saya', 'pakek', 'telkomsel', 'krna', 'jaringan', 'paling', 'luas', 'dan', 'terkenal', 'sinyal', 'bagus', 'telkomsel', 'drpd', 'yg', 'lainnya', 'termasuk', 'provider', 'yg', 'menurut', 'saya', 'juga', 'terbilang', 'g', 'murahan', 'tp', 'kenapa', 'enak', 'nyantai', 'jam', 'malem', 'maen', 'game', 'tiba', 'sinyal', 'ilang', 'mulanya', 'saya', 'kasih', 'bintang', 'skrg', 'saya', 'kurangi', 'jadi', 'bintang', 'payah']","['saya', 'pakai', 'telkomsel', 'karena', 'jaringan', 'paling', 'luas', 'dan', 'terkenal', 'sinyal', 'bagus', 'telkomsel', 'daripada', 'yang', 'lainnya', 'termasuk', 'provider', 'yang', 'menurut', 'saya', 'juga', 'terbilang', 'g', 'murahan', 'tapi', 'kenapa', 'enak', 'bersantai', 'jam', 'malam', 'main', 'game', 'tiba', 'sinyal', 'hilang', 'mulanya', 'saya', 'kasih', 'bintang', 'sekarang', 'saya', 'kurangi', 'jadi', 'bintang', 'payah']","['pakai', 'telkomsel', 'jaringan', 'paling', 'luas', 'terkenal', 'sinyal', 'bagus', 'telkomsel', 'lainnya', 'termasuk', 'provider', 'terbilang', 'g', 'murahan', 'enak', 'bersantai', 'jam', 'malam', 'main', 'game', 'tiba', 'sinyal', 'hilang', 'mulanya', 'kasih', 'bintang', 'sekarang', 'kurangi', 'jadi', 'bintang', 'payah']",pakai telkomsel jaring paling luas kenal sinyal bagus telkomsel lain masuk provider bilang g murah enak santa jam malam main game tiba sinyal hilang mula kasih bintang sekarang kurang jadi bintang payah,NETRAL
"Hargga paket mewah,jaringan B ajah","hargga paket mewah,jaringan b ajah",hargga paket mewah jaringan b ajah,hargga paket mewah jaringan b ajah,"['hargga', 'paket', 'mewah', 'jaringan', 'b', 'ajah']","['harga', 'paket', 'mewah', 'jaringan', 'b', 'saja']","['harga', 'paket', 'mewah', 'jaringan', 'b']",harga paket mewah jaring b,NETRAL
Mo mmk n864,mo mmk n864,mo mmk n864,mo mmk n,"['mo', 'mmk', 'n']","['mo', 'memek', 'n']","['mo', 'memek', 'n']",mo memek n,NETRAL
sangat baikkkk 100 buat my telkomsel,sangat baikkkk 100 buat my telkomsel,sangat baikkkk 100 buat my telkomsel,sangat baikkkk  buat my telkomsel,"['sangat', 'baikkkk', 'buat', 'my', 'telkomsel']","['sangat', 'baik', 'buat', 'my', 'telkomsel']","['sangat', 'baik', 'buat', 'my', 'telkomsel']",sangat baik buat my telkomsel,POSITIF
semoga berkah di tahun 2023,semoga berkah di tahun 2023,semoga berkah di tahun 2023,semoga berkah di tahun ,"['semoga', 'berkah', 'di', 'tahun']","['semoga', 'berkah', 'di', 'tahun']","['semoga', 'berkah', 'tahun']",moga berkah tahun,NETRAL
aplikasi yang SANGAT berguna kedepannya perbanyak promo dan jangan MAHAL MAHAL,aplikasi yang sangat berguna kedepannya perbanyak promo dan jangan mahal mahal,aplikasi yang sangat berguna kedepannya perbanyak promo dan jangan mahal mahal,aplikasi yang sangat berguna kedepannya perbanyak promo dan jangan mahal mahal,"['aplikasi', 'yang', 'sangat', 'berguna', 'kedepannya', 'perbanyak', 'promo', 'dan', 'jangan', 'mahal', 'mahal']","['aplikasi', 'yang', 'sangat', 'berguna', 'kedepannya', 'perbanyak', 'promo', 'dan', 'jangan', 'mahal', 'mahal']","['aplikasi', 'sangat', 'berguna', 'kedepannya', 'perbanyak', 'promo', 'jangan', 'mahal', 'mahal']",aplikasi sangat guna depan banyak promo jangan mahal mahal,POSITIF
Mohon tingkat kan kualitas dan kuantitas Telkomsel di daerah pedesaan,mohon tingkat kan kualitas dan kuantitas telkomsel di daerah pedesaan,mohon tingkat kan kualitas dan kuantitas telkomsel di daerah pedesaan,mohon tingkat kan kualitas dan kuantitas telkomsel di daerah pedesaan,"['mohon', 'tingkat', 'kan', 'kualitas', 'dan', 'kuantitas', 'telkomsel', 'di', 'daerah', 'pedesaan']","['mohon', 'tingkat', 'kan', 'kualitas', 'dan', 'kuantitas', 'telkomsel', 'di', 'daerah', 'pedesaan']","['mohon', 'tingkat', 'kan', 'kualitas', 'kuantitas', 'telkomsel', 'daerah', 'pedesaan']",mohon tingkat kan kualitas kuantitas telkomsel daerah desa,NETRAL
Mantap cuma agak mahal,mantap cuma agak mahal,mantap cuma agak mahal,mantap cuma agak mahal,"['mantap', 'cuma', 'agak', 'mahal']","['mantap', 'cuma', 'agak', 'mahal']","['mantap', 'cuma', 'mahal']",mantap cuma mahal,NETRAL
mantap min,mantap min,mantap min,mantap min,"['mantap', 'min']","['mantap', 'admin']","['mantap', 'admin']",mantap admin,POSITIF
Sia sia mengikuti daily checkin mau dapet kuota. sedangkan acara nya keburu berakhir batas waktu nya ga sesuai..kok makin aneh sii..ga jelas..padahal ngikuti dari awal dimulai... .zzzzzzzzzz..,sia sia mengikuti daily checkin mau dapet kuota. sedangkan acara nya keburu berakhir batas waktu nya ga sesuai..kok makin aneh sii..ga jelas..padahal ngikuti dari awal dimulai... .zzzzzzzzzz..,sia sia mengikuti daily checkin mau dapet kuota  sedangkan acara nya keburu berakhir batas waktu nya ga sesuai  kok makin aneh sii  ga jelas  padahal ngikuti dari awal dimulai     zzzzzzzzzz  ,sia sia mengikuti daily checkin mau dapet kuota  sedangkan acara nya keburu berakhir batas waktu nya ga sesuai  kok makin aneh sii  ga jelas  padahal ngikuti dari awal dimulai     zzzzzzzzzz  ,"['sia', 'sia', 'mengikuti', 'daily', 'checkin', 'mau', 'dapet', 'kuota', 'sedangkan', 'acara', 'nya', 'keburu', 'berakhir', 'batas', 'waktu', 'nya', 'ga', 'sesuai', 'kok', 'makin', 'aneh', 'sii', 'ga', 'jelas', 'padahal', 'ngikuti', 'dari', 'awal', 'dimulai', 'zzzzzzzzzz']","['sia', 'sia', 'mengikuti', 'daily', 'check in', 'mau', 'dapat', 'kuota', 'sedangkan', 'acara', 'nya', 'keburu', 'berakhir', 'batas', 'waktu', 'nya', 'tidak', 'sesuai', 'kok', 'makin', 'aneh', 'sih', 'tidak', 'jelas', 'padahal', 'mengikuti', 'dari', 'awal', 'dimulai', 'zzzzzzzzzz']","['sia', 'sia', 'mengikuti', 'daily', 'check in', 'mau', 'kuota', 'acara', 'nya', 'keburu', 'berakhir', 'batas', 'waktu', 'nya', 'tidak', 'sesuai', 'kok', 'makin', 'aneh', 'sih', 'tidak', 'jelas', 'padahal', 'mengikuti', 'awal', 'dimulai', 'zzzzzzzzzz']",sia sia ikut daily check in mau kuota acara nya keburu akhir batas waktu nya tidak sesuai kok makin aneh sih tidak jelas padahal ikut awal mulai zzzzzzzzzz,NEGATIF
kalo bisa pls y jangan kepotong dong kalo kuota abis..suka lupa Matin data,kalo bisa pls y jangan kepotong dong kalo kuota abis..suka lupa matin data,kalo bisa pls y jangan kepotong dong kalo kuota abis  suka lupa matin data,kalo bisa pls y jangan kepotong dong kalo kuota abis  suka lupa matin data,"['kalo', 'bisa', 'pls', 'y', 'jangan', 'kepotong', 'dong', 'kalo', 'kuota', 'abis', 'suka', 'lupa', 'matin', 'data']","['kalau', 'bisa', 'pulsa', 'y', 'jangan', 'terpotong', 'dong', 'kalau', 'kuota', 'habis', 'suka', 'lupa', 'mati', 'data']","['kalau', 'pulsa', 'y', 'jangan', 'terpotong', 'dong', 'kalau', 'kuota', 'habis', 'suka', 'lupa', 'mati', 'data']",kalau pulsa y jangan potong dong kalau kuota habis suka lupa mati data,NETRAL
Mudah dan cepat gak pakai ribet......manstaf......ðð,mudah dan cepat gak pakai ribet......manstaf......ðð,mudah dan cepat gak pakai ribet      manstaf      ðð,mudah dan cepat gak pakai ribet      manstaf      ðð,"['mudah', 'dan', 'cepat', 'gak', 'pakai', 'ribet', 'manstaf', 'ð\x9f\x91\x8dð\x9f\x98\x83']","['mudah', 'dan', 'cepat', 'tidak', 'pakai', 'ribet', 'mantap', 'ð\x9f\x91\x8dð\x9f\x98\x83']","['mudah', 'cepat', 'tidak', 'pakai', 'ribet', 'mantap', 'ð\x9f\x91\x8dð\x9f\x98\x83']",mudah cepat tidak pakai ribet mantap,POSITIF
kasih turun lagi harga paket combo sakti ny,kasih turun lagi harga paket combo sakti ny,kasih turun lagi harga paket combo sakti ny,kasih turun lagi harga paket combo sakti ny,"['kasih', 'turun', 'lagi', 'harga', 'paket', 'combo', 'sakti', 'ny']","['kasih', 'turun', 'lagi', 'harga', 'paket', 'combo', 'sakti', 'nya']","['kasih', 'turun', 'harga', 'paket', 'combo', 'sakti', 'nya']",kasih turun harga paket combo sakti nya,NETRAL
Pembohong. Fitur jaga pulsa. Tapi pulsa yg disimpan malah habis gak pernah dipakai juga. Padahal sya pakai wifi.,pembohong. fitur jaga pulsa. tapi pulsa yg disimpan malah habis gak pernah dipakai juga. padahal sya pakai wifi.,pembohong  fitur jaga pulsa  tapi pulsa yg disimpan malah habis gak pernah dipakai juga  padahal sya pakai wifi ,pembohong  fitur jaga pulsa  tapi pulsa yg disimpan malah habis gak pernah dipakai juga  padahal sya pakai wifi ,"['pembohong', 'fitur', 'jaga', 'pulsa', 'tapi', 'pulsa', 'yg', 'disimpan', 'malah', 'habis', 'gak', 'pernah', 'dipakai', 'juga', 'padahal', 'sya', 'pakai', 'wifi']","['pembohong', 'fitur', 'jaga', 'pulsa', 'tapi', 'pulsa', 'yang', 'disimpan', 'malah', 'habis', 'tidak', 'pernah', 'dipakai', 'juga', 'padahal', 'saya', 'pakai', 'wifi']","['pembohong', 'fitur', 'jaga', 'pulsa', 'pulsa', 'disimpan', 'malah', 'habis', 'tidak', 'pernah', 'dipakai', 'padahal', 'pakai', 'wifi']",bohong fitur jaga pulsa pulsa simpan malah habis tidak pernah pakai padahal pakai wifi,NEGATIF
mantap min sayangnya bonus gak bisa di pakai,mantap min sayangnya bonus gak bisa di pakai,mantap min sayangnya bonus gak bisa di pakai,mantap min sayangnya bonus gak bisa di pakai,"['mantap', 'min', 'sayangnya', 'bonus', 'gak', 'bisa', 'di', 'pakai']","['mantap', 'admin', 'sayangnya', 'bonus', 'tidak', 'bisa', 'di', 'pakai']","['mantap', 'admin', 'sayangnya', 'bonus', 'tidak', 'pakai']",mantap admin sayang bonus tidak pakai,NETRAL
"Hallo kak saya mau tanya, kiraÂ² Telkomsel kapan bangkrutnya ya? Kabari saya ya kalau Telkomsel bangkrut. Salam satu sinyalðð","hallo kak saya mau tanya, kiraâ² telkomsel kapan bangkrutnya ya? kabari saya ya kalau telkomsel bangkrut. salam satu sinyalðð",hallo kak saya mau tanya  kiraâ² telkomsel kapan bangkrutnya ya  kabari saya ya kalau telkomsel bangkrut  salam satu sinyalðð,hallo kak saya mau tanya  kiraâ² telkomsel kapan bangkrutnya ya  kabari saya ya kalau telkomsel bangkrut  salam satu sinyalðð,"['hallo', 'kak', 'saya', 'mau', 'tanya', 'kiraâ²', 'telkomsel', 'kapan', 'bangkrutnya', 'ya', 'kabari', 'saya', 'ya', 'kalau', 'telkomsel', 'bangkrut', 'salam', 'satu', 'sinyalð\x9f\x99\x8fð\x9f\x98\x81']","['halo', 'kak', 'saya', 'mau', 'tanya', 'kira', 'telkomsel', 'kapan', 'bangkrutnya', 'ya', 'kabari', 'saya', 'ya', 'kalau', 'telkomsel', 'bangkrut', 'salam', 'satu', 'sinyalð\x9f\x99\x8fð\x9f\x98\x81']","['halo', 'kak', 'mau', 'tanya', 'kira', 'telkomsel', 'kapan', 'bangkrutnya', 'kabari', 'kalau', 'telkomsel', 'bangkrut', 'salam', 'satu', 'sinyalð\x9f\x99\x8fð\x9f\x98\x81']",halo kak mau tanya kira telkomsel kapan bangkrut kabar kalau telkomsel bangkrut salam satu sinyal,NEGATIF
mantap jiwa,mantap jiwa,mantap jiwa,mantap jiwa,"['mantap', 'jiwa']","['mantap', 'jiwa']","['mantap', 'jiwa']",mantap jiwa,POSITIF
jaringan menyeluruh,jaringan menyeluruh,jaringan menyeluruh,jaringan menyeluruh,"['jaringan', 'menyeluruh']","['jaringan', 'menyeluruh']","['jaringan', 'menyeluruh']",jaring seluruh,POSITIF
Kuota ku berapa MB lagi?,kuota ku berapa mb lagi?,kuota ku berapa mb lagi ,kuota ku berapa mb lagi ,"['kuota', 'ku', 'berapa', 'mb', 'lagi']","['kuota', 'ku', 'berapa', 'mb', 'lagi']","['kuota', 'ku', 'berapa', 'mb']",kuota ku berapa mb,NETRAL
"oky apknya, tapi kenapa poin nya tidak bisa ditukar dgn pulsa seperti dulu..??","oky apknya, tapi kenapa poin nya tidak bisa ditukar dgn pulsa seperti dulu..??",oky apknya  tapi kenapa poin nya tidak bisa ditukar dgn pulsa seperti dulu    ,oky apknya  tapi kenapa poin nya tidak bisa ditukar dgn pulsa seperti dulu    ,"['oky', 'apknya', 'tapi', 'kenapa', 'poin', 'nya', 'tidak', 'bisa', 'ditukar', 'dgn', 'pulsa', 'seperti', 'dulu']","['oky', 'aplikasinya', 'tapi', 'kenapa', 'poin', 'nya', 'tidak', 'bisa', 'ditukar', 'dengan', 'pulsa', 'seperti', 'dulu']","['oky', 'aplikasinya', 'poin', 'nya', 'tidak', 'ditukar', 'pulsa', 'dulu']",oky aplikasi poin nya tidak tukar pulsa dulu,NETRAL
pelayanan yg cepat tepat,pelayanan yg cepat tepat,pelayanan yg cepat tepat,pelayanan yg cepat tepat,"['pelayanan', 'yg', 'cepat', 'tepat']","['pelayanan', 'yang', 'cepat', 'tepat']","['pelayanan', 'cepat', 'tepat']",layan cepat tepat,POSITIF
"Berat, jaringan jg jelek, mahal","berat, jaringan jg jelek, mahal",berat  jaringan jg jelek  mahal,berat  jaringan jg jelek  mahal,"['berat', 'jaringan', 'jg', 'jelek', 'mahal']","['berat', 'jaringan', 'juga', 'jelek', 'mahal']","['berat', 'jaringan', 'jelek', 'mahal']",berat jaring jelek mahal,NEGATIF
bisssmilah semoga depat motor beat buat kuliiah dan bantu orang tua kemana mana.... aminnn,bisssmilah semoga depat motor beat buat kuliiah dan bantu orang tua kemana mana.... aminnn,bisssmilah semoga depat motor beat buat kuliiah dan bantu orang tua kemana mana     aminnn,bisssmilah semoga depat motor beat buat kuliiah dan bantu orang tua kemana mana     aminnn,"['bisssmilah', 'semoga', 'depat', 'motor', 'beat', 'buat', 'kuliiah', 'dan', 'bantu', 'orang', 'tua', 'kemana', 'mana', 'aminnn']","['bismilah', 'semoga', 'dapat', 'motor', 'beat', 'buat', 'kuliah', 'dan', 'bantu', 'orang', 'tua', 'kemana', 'mana', 'amin']","['bismilah', 'semoga', 'motor', 'beat', 'buat', 'kuliah', 'bantu', 'orang', 'tua', 'mana', 'amin']",bismilah moga motor beat buat kuliah bantu orang tua mana amin,NETRAL
tingkatkan komunitas jaringan,tingkatkan komunitas jaringan,tingkatkan komunitas jaringan,tingkatkan komunitas jaringan,"['tingkatkan', 'komunitas', 'jaringan']","['tingkatkan', 'komunitas', 'jaringan']","['tingkatkan', 'komunitas', 'jaringan']",tingkat komunitas jaring,NETRAL
mudah dan Yaman,mudah dan yaman,mudah dan yaman,mudah dan yaman,"['mudah', 'dan', 'yaman']","['mudah', 'dan', 'yaman']","['mudah', 'yaman']",mudah yaman,POSITIF
transaksi cepat,transaksi cepat,transaksi cepat,transaksi cepat,"['transaksi', 'cepat']","['transaksi', 'cepat']","['transaksi', 'cepat']",transaksi cepat,POSITIF
Jaringannya buruk banget sekarang suka down padahal dulu jarang sekarang setiap hari pasti ada masalah jaringan!!!!,jaringannya buruk banget sekarang suka down padahal dulu jarang sekarang setiap hari pasti ada masalah jaringan!!!!,jaringannya buruk banget sekarang suka down padahal dulu jarang sekarang setiap hari pasti ada masalah jaringan    ,jaringannya buruk banget sekarang suka down padahal dulu jarang sekarang setiap hari pasti ada masalah jaringan    ,"['jaringannya', 'buruk', 'banget', 'sekarang', 'suka', 'down', 'padahal', 'dulu', 'jarang', 'sekarang', 'setiap', 'hari', 'pasti', 'ada', 'masalah', 'jaringan']","['jaringannya', 'buruk', 'banget', 'sekarang', 'suka', 'down', 'padahal', 'dulu', 'jarang', 'sekarang', 'setiap', 'hari', 'pasti', 'ada', 'masalah', 'jaringan']","['jaringannya', 'buruk', 'banget', 'sekarang', 'suka', 'down', 'padahal', 'dulu', 'jarang', 'sekarang', 'hari', 'masalah', 'jaringan']",jaring buruk banget sekarang suka down padahal dulu jarang sekarang hari masalah jaring,NEGATIF
